Scholarship_Name,Tổ chức cấp học bổng,Loại học bổng,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,Giới hạn đối tượng,Danh sách giới hạn đối tượng (nếu có),Giới hạn ngành nghề,Danh sách nhóm ngành / ngành cụ thể,Bằng cấp yêu cầu,GPA tối thiểu,Yêu cầu xếp hạng / liên quan ngành học,Kinh nghiệm yêu cầu,Năng lực & thành tích (requirements.competencies),Điều kiện gia hạn học bổng,Hồ sơ yêu cầu,Quy trình nộp hồ sơ,Liên kết học bổng (URL),Ghi chú (nếu có),Thường niên (Có/Không/Chưa rõ),% SV toàn trường nhận hỗ trợ tài chính,Mức hỗ trợ trung bình toàn trường,,,
UQ International Excellence Scholarship – University of Queensland,The University of Queensland,Trường,**Giảm 25% học phí mỗi kỳ** (theo trang UQ),Cho SV quốc tế thành tích cao nhập học 2026 (S1/S2),Đơn trực tuyến ngắn (hoặc xét qua offer),8–2,Theo mốc UQ,Theo mốc UQ,Chưa công bố,Có,SV quốc tế có offer đủ điều kiện,—,Không,Mọi ngành coursework đủ điều kiện,THPT (quốc tế) + đỗ University of Queensland,Không nêu,Điểm đầu vào cạnh tranh; đạt yêu cầu tiếng Anh,—,Học thuật cao,Gia hạn theo tiến độ/GPA,Đơn online + offer,Xét & thông báo theo đợt,https://scholarships.uq.edu.au/scholarship/uq-international-excellence-scholarship,Trang UQ & bài giới thiệu nêu mức **25%**,Có,Chưa công bố,Chưa công bố,,,
Entrance Scholarships for International Students – HKU,The University of Hong Kong (HKU),Trường,Từ **một phần** đến **đầy đủ học phí**; có thể kèm phụ cấp nhà ở/sinh hoạt (một số diện),Tự động xét; công bố cùng offer,Tự động (không cần đơn),9–6,Theo mốc HKU,Theo mốc HKU,Chưa công bố,Có,SV quốc tế (non-local) theo International Qualifications,—,Không,Mọi ngành Cử nhân,THPT (quốc tế) + đỗ HKU,Không nêu,Điểm đầu vào xuất sắc; xem xét thành tích ngoài học thuật,—,Học thuật & hoạt động,Gia hạn theo quy định,Hồ sơ nhập học HKU (không cần đơn riêng),Xét tự động; công bố cùng offer,https://admissions.hku.hk/fees-and-scholarships/scholarships,HKU xác nhận không cần đơn; có thể bao gồm full tuition + allowance,Có,Chưa công bố,Chưa công bố,,,
International Undergraduate Excellence Award – University of Nottingham,University of Nottingham,Trường,"Đóng góp vào học phí **năm 1** (mức theo khu vực, ví dụ £6.000 ở South Asia)",Cần có offer trước khi nộp học bổng,Đơn trực tuyến riêng,3–5,Theo thông báo từng vùng,Theo thông báo vùng,Chưa công bố,Có,SV quốc tế (theo khu vực/đợt),Danh sách theo khu vực,Có,Tất cả ngành UG đủ điều kiện,THPT (quốc tế) + đỗ University of Nottingham,Không nêu,Học thuật xuất sắc; đam mê ngành học,—,Học thuật & động lực,Không gia hạn (năm 1),Đơn online sau khi có offer,Nộp trên NottinghamHub,https://www.nottingham.ac.uk/studywithus/international-applicants/scholarships-funding-finance/undergraduate-scholarships.aspx,Trang tổng International Undergraduate Excellence,Có,Chưa công bố,Chưa công bố,,,
Inspiring Excellence Undergraduate Scholarship – Durham University,Durham University,Trường,£5.000 hoặc £10.000 **mỗi năm** (tuition waiver),Áp dụng khóa 2026/27; có 2 vòng nộp (Jan & May),Đơn trực tuyến riêng,10–5,01/10/2025,30/01/2026 (vòng 1) & 15/05/2026 (vòng 2),Chưa công bố,Có,SV quốc tế vào UG 2026/27,—,Không,Hầu hết ngành UG (trừ ngoại lệ),THPT (quốc tế) + đỗ Durham,Không nêu,Học thuật cao; bài luận/mục tiêu,—,"Học thuật, tác động, tiềm năng lãnh đạo",Gia hạn theo quy định,Đơn + minh chứng + bài luận,"Vòng 1/2, công bố Apr/Jun",https://www.durham.ac.uk/study/scholarships/international/durham-inspiring-excellence-scholarships/undergraduate/,Hướng dẫn PDF nêu mốc 2025–2026 chi tiết,Có,Chưa công bố,Chưa công bố,,,
UdeM Exemption Scholarship for International Students – Université de Montréal,Université de Montréal,Trường,Miễn phần **chênh lệch học phí quốc tế** (giảm đáng kể học phí),Xét **tự động** khi có offer; giá trị tùy bậc/ngành,Tự động (không cần đơn),Quanh năm,Theo mốc nhập học,Theo mốc nhập học,Chưa công bố,Có,SV quốc tế (trừ một số diện miễn trừ khác),—,Không,Hầu hết ngành chính quy,THPT (quốc tế) + đỗ UdeM,Không nêu,Đạt điều kiện tuyển sinh,—,Học thuật đủ chuẩn,Gia hạn theo quy định,Hồ sơ nhập học UdeM,Tự động xét & thông báo,https://admission.umontreal.ca/en/scholarship-for-international-students/,Trang UdeM xác nhận xét tự động,Có,Chưa công bố,Chưa công bố,,,
Entrance Scholarships – McGill University,McGill University,Trường,"One-year: **C$3.000** (không gia hạn); Major Entrance: **C$12.000–48.000** (C$3.000–12.000/năm, tối đa 4 năm)",Merit-based; Major cần đơn riêng; One-year tự động,Tự động (One-year) / Đơn (Major),10–1,Theo mốc McGill,Theo mốc McGill,Nhiều suất,Có,"SV năm nhất full-time, first-degree",—,Không,Mọi ngành UG đủ điều kiện,THPT (quốc tế) + đỗ McGill,Không nêu,Chuẩn học thuật cao; Major xét thêm lãnh đạo,—,Học thuật & lãnh đạo (đối với Major),Major: gia hạn đến 4 năm nếu đạt chuẩn,Đơn Major qua Applicant Portal; One-year tự động,Xét & thông báo theo lịch,https://www.mcgill.ca/studentaid/scholarships-aid/future-undergrads/entrance-scholarships,Trang McGill nêu rõ giá trị,Có,Chưa công bố,Chưa công bố,,,
International Student Entrance Scholarship – University of Waterloo,University of Waterloo,Trường,**C$10.000** (20 suất/năm),Tự động xét cho SV quốc tế năm nhất có điểm đầu vào ≥90%,Tự động (không cần đơn),9–3,Theo mốc Waterloo,Theo mốc Waterloo,20,Có,SV quốc tế năm nhất (visa student),—,Không,Mọi ngành,THPT (quốc tế) + đỗ University of Waterloo,Không nêu,Điểm trung bình đầu vào ≥90%,—,Học thuật xuất sắc,Không gia hạn (one-off),Hồ sơ nhập học Waterloo,Tự động xét; thông báo nếu được trao,https://uwaterloo.ca/undergraduate-entrance-awards/awards/university-waterloo-international-student-entrance,Trang Waterloo mô tả chi tiết,Có,Chưa công bố,Chưa công bố,,,
President’s Scholars of Excellence Program – University of Toronto,University of Toronto,Trường,**C$15.000** (năm 1; không gia hạn) + đặc quyền học thuật,Khoảng **~150** SV/năm; tự động xét,Tự động (không cần đơn),9–1,Theo mốc U of T,Theo mốc U of T,~150,Có,SV năm nhất direct-entry (quốc tế & nội địa),—,Không,Mọi ngành/direct-entry,THPT (quốc tế) + đỗ University of Toronto,Không nêu,Điểm đầu vào xuất sắc,—,Học thuật nổi bật; cơ hội nghiên cứu/mentor (tùy khoa),Không gia hạn,Hồ sơ nhập học U of T,Xét tự động & thông báo,https://future.utoronto.ca/presidents-scholars-excellence-program,Trang chính thức nêu C$15.000 & ~150 suất,Có,Chưa công bố,Chưa công bố,,,
Sydney International Undergraduate Academic Excellence Scholarship – University of Sydney,The University of Sydney,Trường,**100% học phí + SSAF** đến 4 năm (single UG),Dành cho SV quốc tế xuất sắc; cần nhận offer & chấp nhận đúng hạn,Đơn trực tuyến (ngắn) sau khi có offer,Quanh năm (theo đợt),—,Theo đợt,Chưa công bố,Có,"SV quốc tế, single UG degree",—,Có giới hạn nhẹ,Mọi ngành single UG (trừ ngoại lệ hiếm),THPT (quốc tế) + đỗ University of Sydney,Không nêu,Học thuật vượt trội (top applicants),—,Học thuật xuất sắc,Gia hạn nếu đạt tiến độ/điểm,Đơn online + chấp nhận offer đúng hạn,Xét & thông báo theo đợt,https://www.sydney.edu.au/scholarships/e/sydney-international-undergraduate-academic-excellence-scholarship.html,Trang chính thức nêu 100% tuition + SSAF,Có,Chưa công bố,Chưa công bố,,,
Taiwan Scholarship Program (MOE),Ministry of Education (Taiwan),Chính phủ,Hỗ trợ học phí lên đến **NT$40.000/kỳ** + trợ cấp sinh hoạt **NT$15.000/tháng** (bậc Cử nhân),Thời lượng tối đa: 4 năm (UG); tổng cộng không quá 5 năm,Đơn qua Văn phòng/ĐSQ/TECO,2–4,01/02,30/04,Chưa công bố,Có,Công dân các nước đủ điều kiện (có Việt Nam),Danh sách quốc gia đủ điều kiện,Không,Mọi ngành tại ĐH Đài Loan đủ điều kiện,THPT (hoặc tương đương) + nhập học ĐH Đài Loan (theo danh mục quốc tịch),Không nêu,Điều kiện học thuật/tiếng theo trường tiếp nhận,—,Học thuật tốt; cam kết hoàn thành chương trình,Gia hạn hằng năm theo kết quả,Gói hồ sơ theo hướng dẫn MOE,Nộp tại TECO/ĐSQ theo quốc gia → xét chọn,https://depart.moe.edu.tw/SFEN/cp.aspx?n=485A66D492D051A4&s=4A8419DA9A7BB19B,MOE quy định kỳ nộp **1/2–30/4** & mức hỗ trợ,Có,Không áp dụng,Không áp dụng,,,
HKSAR Government Scholarship Fund (Outstanding Performance),Education Bureau (HKSAR Government),Chính phủ,**HK$40.000/năm (local)** hoặc **HK$80.000/năm (non-local)**,Gia hạn hằng năm nếu đạt chuẩn; thuộc GSF (nhiều hạng mục),Đề cử/xét bởi trường tại HK,9–4,Theo năm học,Theo năm học,~Hàng nghìn (toàn quỹ),Có,SV local & non-local học tại HK (UGC/self-financing),—,Không,Mọi ngành đủ điều kiện,THPT (quốc tế) + đỗ ĐH ở HKSAR + tiêu chí BRI/quốc tịch,Không nêu,Thành tích học thuật xuất sắc; lãnh đạo/đóng góp,—,Học thuật và đóng góp xã hội,Gia hạn nếu đạt chuẩn,Trường đề cử + hồ sơ minh chứng,Xét & công bố bởi EDB/trường,https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/publicly-funded-programmes/scholarship.html,EDB công bố mức HK$40k/80k & báo cáo hằng năm,Có,Không áp dụng,Không áp dụng,,,
MAECI Scholarship (Study in Italy Grant – Short-term/Living Allowance),Italian Ministry of Foreign Affairs (MAECI),Chính phủ,**€1000/tháng** trợ cấp + miễn/giảm một số lệ phí,**KHÔNG** tài trợ bậc Cử nhân 3 năm tiêu chuẩn; dành cho Master/PhD/AFAM/nghiên cứu & khóa ngôn ngữ,Cổng Study in Italy,4–5,Theo thông báo,~16/05 (ví dụ 2025),Chưa công bố,Không,Không áp dụng cho Cử nhân tiêu chuẩn,—,Có,Thường cho Master/PhD/AFAM/nghiên cứu,Không thuần tuyển Cử nhân (hỗ trợ ngắn hạn/sinh hoạt),—,—,—,—,—,Nộp online trên Study in Italy,Xét theo tiêu chí của MAECI,https://www.esteri.it/en/opportunita/borse-di-studio/per-cittadini-stranieri/borsestudio_stranieri/,Call chính thức nêu đối tượng **không gồm UG chuẩn**,Có,Không áp dụng,Không áp dụng,,,
University of Hong Kong Scholarships (General International Awards),The University of Hong Kong (HKU),Trường,Nhiều mức từ bán phần đến toàn phần,Danh mục học bổng tổng quan cho SV quốc tế,Tự động/đơn (tuỳ chương trình),9–6,Theo mốc HKU,Theo mốc HKU,Chưa công bố,Có,SV quốc tế (non-local),—,Không,Mọi ngành,THPT (quốc tế) + đỗ HKU,Không nêu,Xét điểm & thành tích ngoài học thuật,—,Học thuật & hoạt động,Theo từng học bổng,Hồ sơ nhập học + (có thể) đơn riêng,Xét tự động hoặc nộp đơn theo yêu cầu,https://admissions.hku.hk/fees-and-scholarships/scholarships,Trang tổng quan học bổng HKU,Có,Chưa công bố,Chưa công bố,,,
ICSP Scholarships – University of Oregon,University of Oregon,Trường,"Miễn/giảm **một phần học phí** (partial tuition-waiver), gia hạn hằng năm nếu đạt yêu cầu",Kèm **nghĩa vụ dịch vụ văn hoá** (thuyết trình về VN tại trường/cộng đồng),Đơn trực tuyến/qua ISSS,10–2,15/01 (hạn nộp UO cho tân SV),~Giữa 2 (hạn ICSP hằng năm),Chưa công bố,Có,SV quốc tế (không phải công dân/PR Hoa Kỳ),—,Không,Mọi ngành UG đủ điều kiện,THPT (quốc tế) + đỗ University of Oregon + tham gia ICSP (service),~GPA 3.5 (yêu cầu tối thiểu),Đủ nguồn tài chính bổ sung; khả năng thuyết trình,Hoạt động cộng đồng,"Năng lực trình bày, giao tiếp liên văn hoá, học thuật tốt",Gia hạn hằng năm nếu hoàn thành nghĩa vụ,Đơn ICSP + bài luận + minh chứng tài chính + tham chiếu,Xét chọn & phỏng vấn (nếu có),https://isss.uoregon.edu/icsp/application,ISSS nêu rõ điều kiện & thời hạn,Có,Chưa công bố,Chưa công bố,,,
University of Calgary International Entrance Scholarship,University of Calgary,Trường,**C$20.000/năm** × tối đa 4 năm (gia hạn),Prestige Award cho SVQT năm nhất; yêu cầu GPA ≥2.60 mỗi năm để gia hạn,Đơn qua cổng My UCalgary (High School Prestige Awards),10–12,Theo mốc UCalgary,Theo mốc UCalgary,2,Có,"SV quốc tế năm nhất, đủ ELP",—,Không,Mọi ngành,THPT (quốc tế) + đỗ University of Calgary,Không nêu,Thành tích học thuật cao; hồ sơ mạnh,—,Học thuật và thành tích hoạt động,Gia hạn nếu GPA ≥2.60/24 units,nộp đơn + tài liệu hỗ trợ,Xét & thông báo,https://www.ucalgary.ca/registrar/awards/university-calgary-international-entrance-scholarship,Trang chính thức mô tả chi tiết,Có,Chưa công bố,Chưa công bố,,,
Griffith Vice Chancellor’s International Scholarship,Griffith University,Trường,"50% học phí (toàn khoá, nếu đạt chuẩn duy trì)",Áp dụng cho SV quốc tế thành tích xuất sắc bậc UG/PG coursework,Đơn trực tuyến (sau khi có offer),Quanh năm (theo đợt Trimester),Theo đợt tuyển sinh,Theo đợt tuyển sinh,Chưa công bố,Có,SV quốc tế có offer Griffith,—,Không,Mọi ngành UG đủ điều kiện,THPT (quốc tế) + đỗ Griffith,Không nêu,Điểm đầu vào rất cao; tiêu chí học thuật,—,Học thuật xuất sắc,Duy trì chuẩn học tập theo quy định,Đơn online + offer,Nộp offer → nộp form học bổng → xét,https://www.griffith.edu.au/international/scholarships-finance/scholarships/vice-chancellors-international-scholarship,Giá trị 50% học phí toàn khoá,Có,Chưa công bố,Chưa công bố,,,
Dr. Elemér and Éva Kiss Scholarship Fund,Hungarian American Coalition,Quỹ / Tổ chức,Hỗ trợ tài chính (mức thay đổi theo năm),Dành cho SV gốc Hungary/hay công dân Hungary học full-time tại ĐH ở Hoa Kỳ,Đơn trực tuyến/qua HAC,6–9,Theo thông báo,Theo thông báo,Chưa công bố,Không,Phải là công dân Hungary hoặc cộng đồng gốc Hungary ở một số nước lân cận,Hungary/ethnic Hungarian (SK/RO/RS/UA),Không,Mọi ngành (theo hướng dẫn),THPT (hoặc tương đương) + theo tiêu chí quỹ Kiss,Không nêu,Thành tích học tập tốt; nhập học full-time ở Mỹ,—,Học thuật và nhu cầu tài chính,Theo thư mời,Đơn + bảng điểm + chứng minh tài chính,Gửi hồ sơ HAC → xét chọn,https://hacusa.org/dr-elemer-and-eva-kiss-scholarship-fund/,**Không mở cho SV Việt Nam không có gốc Hungary**,Có,Không áp dụng,Không áp dụng,,,
IAPD Scholarship,IAPD – The Performance Plastics Association,Quỹ / Tổ chức,Tối đa khoảng **US$3.500**,Dành cho HS lớp 12 sắp vào ĐH & SV bậc ĐH liên quan ngành nhựa/kỹ thuật; yêu cầu **GPA ≥3.5/4.0**,Đơn trực tuyến,1–4,Theo thông báo,Theo thông báo,Chưa công bố,Có,Ưu tiên ngành liên quan vật liệu/nhựa; mở quốc tế (tuỳ điều kiện),—,Có,Polymer/Plastics/Engineering/Business liên quan,THPT (hoặc tương đương) + ngành nha/khoa phù hợp (tiêu chí IAPD),3.5/4.0,Theo ngành/điểm học thuật,—,"Học thuật tốt, định hướng ngành nhựa",Theo thư mời,Đơn online + bảng điểm + bài luận,Nộp cổng IAPD → xét chọn,https://www.iapd.org/IAPD/IAPD/Scholarship/Scholarship.aspx,Giá trị & người trúng tuyển 2025 đăng tải công khai,Có,Không áp dụng,Không áp dụng,,,
Stantec Future Leaders Scholarship,Stantec,Quỹ / Tổ chức,Tổng quỹ **US$200.000/năm**; mỗi suất **US$1.500–10.000**,Dành cho SV **STEAM**; có thể kèm cơ hội thực tập (tối đa ~10 mỗi năm),Đơn trực tuyến,9–11 (tuỳ năm),Theo thông báo,Theo thông báo,Nhiều suất,Có,SV đang học STEAM; không giới hạn quốc tịch (điều kiện visa do trường/quốc gia),—,Có,"Science, Technology, Engineering, Arts/Architecture, Math",THPT (hoặc tương đương) + theo tiêu chí Stantec (ngành liên quan),Không nêu,Học thuật & lãnh đạo,—,"Lãnh đạo, kiên cường, tác động cộng đồng",Theo thư mời,Đơn + bảng điểm + bài luận,Nộp cổng Stantec → xét,https://www.stantec.com/en/about/community-engagement/scholarships/stantec-future-leaders-scholarship,2025 thông báo mở & tổng quỹ 200.000 USD,Có,Không áp dụng,Không áp dụng,,,
WGA Evans Scholars Program,Evans Scholars Foundation (WGAESF),Quỹ / Tổ chức,**Học phí & nhà ở toàn phần**,Dành cho **caddies** có thành tích cao & cần hỗ trợ tài chính; học tại các ĐH đối tác,Đơn trực tuyến + đề cử,8–10,Theo thông báo,Theo thông báo,>1.000 tổng cộng (toàn quỹ),Không,Yêu cầu kinh nghiệm caddying tại Mỹ; tiêu chí tài chính/đạo đức,—,Không,Mọi ngành tại ĐH đối tác,THPT (Mỹ) + caddie + tiêu chí tài chính/lãnh đạo (học tại ĐH Mỹ),Không nêu,Học lực tốt; ACT/SAT (nếu yêu cầu),Kinh nghiệm caddie,"Lãnh đạo, đạo đức, phục vụ",Theo điều kiện quỹ,Đơn + minh chứng caddie + tài chính + phỏng vấn,Xét qua WGAESF & trường,https://wgaesf.org/a-life-changing-opportunity,Phù hợp nếu đã sống/học ở Mỹ & làm caddie,Có,Không áp dụng,Không áp dụng,,,
CIEE College Study Abroad Scholarships,CIEE,Quỹ / Tổ chức,~US$200–2.500 (tuỳ loại); thêm các grant khác,Hỗ trợ **đi học kỳ/khóa ngắn hạn** qua CIEE (không cấp bằng),Đơn trực tuyến theo chương trình,Quanh năm,Theo đợt,Theo đợt,Nhiều suất,Có,Ưu tiên SV đang học tại ĐH ở nước sở tại; một số học bổng chỉ cho công dân Mỹ,—,Không,Mọi ngành (học kỳ trao đổi/du học ngắn hạn),Đang là SV ĐH (hỗ trợ du học ngắn hạn; không cấp bằng),Không nêu,Theo chương trình & nhu cầu,—,Học thuật & động lực,Theo chương trình,Cổng CIEE + tài liệu,Đăng ký chương trình → nộp học bổng,https://www.ciee.org/go-abroad/college-study-abroad/scholarships-grants,Không phải học bổng cấp bằng,Có,Không áp dụng,Không áp dụng,,,
Hubert Humphrey Fellowships,U.S. Department of State (ECA),Chính phủ,"Hỗ trợ toàn diện (học phí, sinh hoạt, bảo hiểm, vé máy bay) – **không cấp bằng**",Chương trình **sau ĐH/nhà nghề** cho ứng viên mid-career,Đơn qua ĐSQ/IIE,4–7,Theo quốc gia,Theo quốc gia,Chưa công bố,Không,Yêu cầu **tối thiểu 5 năm kinh nghiệm**; đã có bằng Cử nhân,—,Có,Lĩnh vực chính sách/công vụ (theo danh mục),"Không phải bậc Cử nhân (mid-career, không cấp bằng)",—,≥5 năm kinh nghiệm chuyên môn,Kinh nghiệm bắt buộc,"Lãnh đạo công, phục vụ cộng đồng",—,Đơn quốc gia + phỏng vấn + kiểm tra tiếng Anh,Theo quy trình của chương trình,https://www.humphreyfellowship.org/how-to-apply/eligibility/,**Không dành cho Cử nhân**,Có,Không áp dụng,Không áp dụng,,,
Civil Society Leadership Awards (CSLA),Open Society Foundations,Quỹ / Tổ chức,Toàn phần (trước đây),**ĐÃ DỪNG** từ 2021,Không nhận đơn,Không,Không,Không,0,Không,Chỉ tham khảo lịch sử,—,—,—,Không phải bậc Cử nhân (chủ yếu Thạc sĩ),—,—,—,—,—,—,—,—,https://www.opensocietyfoundations.org/grants/faq,OSF ngừng chương trình CSLA từ 2021,Không,Không áp dụng,Không áp dụng,,
Monash International Merit Scholarship,Monash University,Trường,**A$15.000/năm** (tối đa A$75.000); ~20 suất/năm,Dành cho SV quốc tế có offer Monash (UG/PG),Đơn trực tuyến,Quanh năm,Theo thông báo,Theo thông báo,~20,Có,SV quốc tế có offer Monash,—,Không,Mọi ngành UG đủ điều kiện,THPT (quốc tế) + đỗ Monash,Không nêu,Thành tích học thuật rất cao,—,Học thuật & thành tích,Gia hạn hằng năm nếu đạt chuẩn,Đơn online + bảng điểm,Nộp & xét theo đợt,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/international-merit-5770,Trang chính thức nêu A$15k/năm,Có,Chưa công bố,Chưa công bố,,,
Adelaide Global Citizens Scholarship,University of Adelaide,Trường,Giảm **15% hoặc 30%** học phí (2025),Tự động theo thành tích nhập học,Đơn/tự động (tuỳ trường hợp),Quanh năm,Theo đợt,Theo đợt,Chưa công bố,Có,SV quốc tế nhập học năm 2025,—,Không,Mọi ngành UG đủ điều kiện,THPT (quốc tế) + đỗ Adelaide,Không nêu,Điểm đầu vào cao,—,Học thuật,Theo thư mời,Offer + form (nếu yêu cầu),Tự động xét hoặc nộp ngắn,https://international.adelaide.edu.au/admissions/scholarships/global-citizens-scholarships,Mức 15%/30% 2025,Có,Chưa công bố,Chưa công bố,,,
University of Western Australia Global Excellence Scholarship,The University of Western Australia,Trường,Tối đa **A$48.000/4 năm** (UG),Giảm học phí theo ATAR/WAM trong suốt khoá,Đơn/tự động (tuỳ đợt),Quanh năm,Theo mốc UWA,Theo mốc UWA,Chưa công bố,Có,SV quốc tế có offer UWA,—,Không,Mọi ngành UG đủ điều kiện,THPT (quốc tế) + đỗ UWA,Không nêu,Điểm đầu vào cao,—,Học thuật,Theo điều kiện UWA,Offer + hồ sơ,Theo đợt,https://www.uwa.edu.au/study/global-excellence-scholarship,Trang UWA nêu tối đa A$48k,Có,Chưa công bố,Chưa công bố,,,
York University International Entrance Scholarship (of Distinction),York University,Trường,**C$35.000/năm × 4** (tối đa **C$140.000**),3 suất/năm; yêu cầu hồ sơ riêng,Đơn trực tuyến riêng,10–2,Theo mốc York,Theo mốc York,3,Có,SV quốc tế nộp vào York,—,Không,Mọi ngành UG (trừ một số ngành kỹ thuật/CSc có điều chỉnh),THPT (quốc tế) + đỗ York,Không nêu,Học thuật rất cao; lãnh đạo & hoạt động,—,Học thuật + lãnh đạo,Gia hạn 4 năm nếu đạt chuẩn,Đơn + bài luận + tham chiếu,Ứng tuyển & xét chọn,https://futurestudents.yorku.ca/financing-your-degree/international-scholarships,Trang York xác nhận C$35k x4,Có,Chưa công bố,Chưa công bố,,,
Western University International Admission Scholarships,Western University (Canada),Trường,Nhiều mức; ví dụ **Welcome to Canada $10.000 (năm 1)**; **Continue in Canada $40.000/4 năm** (điều kiện riêng),Tự động xét theo diện/quốc tịch/vị trí học,**9–1** (theo nhập học),Theo mốc Western,Theo mốc Western,Nhiều suất,Có,Tuỳ diện (học ở ngoài/ trong Canada),—,Không,Mọi ngành UG đủ điều kiện,Cử nhân,THPT (quốc tế) + đỗ Western,Điểm đầu vào cao,—,Học thuật,Theo học bổng cụ thể,Không cần đơn (đa số),Tự động xét & thông báo,https://welcome.uwo.ca/next-steps/finances/welcome-to-canada-scholarship.html,Liên kết thêm Continue in Canada $40k/4y,Có,Chưa công bố,Chưa công bố,,,,
QuestBridge National College Match,QuestBridge,Quỹ / Tổ chức,Toàn phần/bán phần (tùy trường đối tác; need-based),Dành cho HS lớp 12 **đang học tại Mỹ** hoặc công dân/PR Mỹ ở nước ngoài; **không dành cho HS ở VN**,Đơn trực tuyến,8–9,Theo lịch QB,Cuối 9,Chưa công bố,Không,Chỉ US Citizens/PR hoặc HS đang học ở **Mỹ**,—,Không,Mọi ngành tại trường đối tác,THPT (Mỹ) + công dân/PR Mỹ (low-income; match ĐH đối tác),Không nêu,Thành tích xuất sắc; thu nhập thấp,—,"Học thuật cao, vượt khó",Theo trường đối tác,Đơn QB + hồ sơ tài chính,Theo lịch QB & trường,https://www.questbridge.org/apply-to-college/programs/national-college-match/apply,Trang QB nêu **không đủ điều kiện** nếu học ngoài Mỹ,Có,Không áp dụng,Không áp dụng,,,
Coca-Cola Scholars Program,Coca-Cola Scholars Foundation,Quỹ / Tổ chức,**US$20.000** (đến 150 suất/năm),Chỉ dành cho HS lớp 12 **đủ điều kiện Federal Aid (quốc tịch/diện cư trú Hoa Kỳ)**,Đơn trực tuyến,8–10,Theo thông báo,Theo thông báo,~150,Không,"Chỉ US Citizens/US Nationals/PR, v.v.",—,Không,Mọi ngành (đại học tại Mỹ),THPT (Mỹ) + công dân/PR Mỹ (học bổng tư nhân),Không nêu,GPA/leadership (theo tiêu chí quỹ),—,"Lãnh đạo, hoạt động cộng đồng",Theo quỹ,Đơn online + bài luận,Theo lịch quỹ,https://www.coca-colascholarsfoundation.org/apply/,FAQ xác nhận chỉ các diện cư trú Mỹ mới đủ điều kiện,Có,Không áp dụng,Không áp dụng,,,
Dell Scholars Program,Michael & Susan Dell Foundation,Quỹ / Tổ chức,**US$20.000** + hỗ trợ toàn diện,Yêu cầu **Pell-eligible** & tham gia chương trình **College Readiness**; dành cho HS lớp 12 ở **Mỹ**,Đơn trực tuyến,10–12,Theo lịch,Theo lịch,~500,Không,Chỉ công dân/PR Hoa Kỳ; yêu cầu FAFSA/Pell,—,Không,Mọi ngành (đại học tại Mỹ),"THPT (Mỹ) + công dân/PR Mỹ (low-income, college-readiness)",≥2.4 (tham chiếu),Pell Grant bắt buộc,Hoạt động/cố gắng vượt khó,"Bền bỉ, vượt khó",Theo quỹ,Đơn + tài liệu tài chính,Theo lịch quỹ,https://www.dellscholars.org/,Dành cho HS ở Mỹ,Có,Không áp dụng,Không áp dụng,,,
University of Bologna Study Grants for International Students,University of Bologna,Trường/Chính phủ địa phương,ER.GO grants (trợ cấp sinh hoạt + nhà ở + suất ăn; mức theo **ISEE**); miễn/giảm học phí theo thu nhập,Dành cho SV (kể cả quốc tế) học tại các trường vùng Emilia-Romagna; **Unibo hiện tập trung học bổng Master “International Talents @Unibo”**; bậc UG dùng kênh **ER.GO**,Đơn trực tuyến (ER.GO),7–9,Theo call hằng năm,Theo call hằng năm,Nhiều suất,Có,Mở cho SV quốc tế tại Emilia-Romagna,—,Không,Mọi ngành tại Unibo,THPT (quốc tế) + đỗ University of Bologna,Không nêu,Theo chỉ số thu nhập ISEE,—,Nhu cầu tài chính + tiến độ,Gia hạn theo điều kiện ER.GO,Đơn ER.GO + hồ sơ thu nhập,Nộp ER.GO → xét,https://www.unibo.it/en/study/study-grants-and-subsidies/ergo,UG: theo ER.GO; học bổng Unibo công bố cho Master 25/26,Có,Không áp dụng,Không áp dụng,,,
Bocconi Merit and International Awards,Università Bocconi,Trường,**Merit Award: miễn 100% học phí**; **International Award: giảm 50% học phí** (UG),Trao dựa trên thành tích khi tuyển sinh; có yêu cầu duy trì,Đơn/tự động (tuỳ vòng),10–5,Theo mốc Bocconi,Theo mốc Bocconi,Chưa công bố,Có,SV quốc tế trúng tuyển Bocconi,—,Có,Kinh tế/Kinh doanh/Pháp luật (BSc & Law),THPT (quốc tế) + đỗ Bocconi,Không nêu,Hồ sơ học thuật xuất sắc,—,Học thuật xuất sắc,Gia hạn nếu đạt chuẩn WAM,Ưu tiên xét từ hồ sơ nhập học,Theo lịch,https://www.unibocconi.eu/studentassistance,Trang Funding tóm tắt 25/26; International Award 50%,Có,Chưa công bố,Chưa công bố,,,
