Scholarship_Name,Tổ chức cấp học bổng,Scholarship_Type,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,,Object limitation,List of restricted subjects (if any),Department restrictions,List of specific industries/groups,Required qualifications,Required qualifications,Minimum GPA,Ranking requirements / field of study,Required experience,Competencies & Achievements (requirements.competencies),Scholarship renewal conditions,Required documents,Required documents,Application process,Liên kết học bổng (URL),Notes ,Annual (Yes/No/Unknown),% of students in the whole school receive financial aid,Average school-wide support level,,,
Stantec Future Leaders Scholarship,Stantec,fund / organization,Full tuition and housing,For **STEAM** students; may include internship opportunities (up to ~10 per year),Online application,9–11 (depending on the year),According to the announcement,According to the announcement,Many portions,yes,,STEAM students; no nationality restrictions (visa conditions by school/country),—,yes,"Science, Technology, Engineering, Arts/Architecture, Math",High school (or equivalent) + according to Stantec criteria (related industry),High school (or equivalent) + according to Stantec criteria (related industry),Not stated,Academics & Leadership,—,"Leadership, resilience, community impact",By invitation,Application + transcript + essay,Application + transcript + essay,Submit to Stantec portal → review,https://www.stantec.com/en/about/community-engagement/scholarships/stantec-future-leaders-scholarship,"2025 announcement opening & total fund 200,000 USD",yes,Not applicable,Not applicable,,,
WGA Evans Scholars Program,Evans Scholars Foundation (WGAESF),fund / organization,"~US$200–2,500 (depending on type) plus other grants",For high achieving **caddies** who need financial support; studying at partner universities,Online application + nomination,8–10,According to the announcement,According to the announcement,">1,000 total (total fund)",no,,Caddying experience required in the US; financial/ethical criteria,—,no,All majors at partner universities,High school (USA) + caddie + financial/leadership criteria (study at US university),High school (USA) + caddie + financial/leadership criteria (study at US university),Not stated,Good academic standing; ACT/SAT (if required),Caddie experience,"Leadership, ethics, service",According to fund conditions,Application + caddie proof + financial + interview,Application + caddie proof + financial + interview,Considered by WGAESF & school,https://wgaesf.org/a-life-changing-opportunity,Suitable if you have lived/studied in the US & worked as a caddy,yes,Not applicable,Not applicable,,,
CIEE College Study Abroad Scholarships,CIEE,fund / organization,"Comprehensive support (tuition, living, insurance, airfare) – non-degree",Support for **semester/short-term course** through CIEE (no degree granted),Online application by program,Year-round,In batches,In batches,Many portions,yes,,Priority is given to students studying at a university in their home country; some scholarships are only available to US citizens.,—,no,All majors (exchange semester/short-term study abroad),Currently a university student (short-term study abroad support; no degree granted),Currently a university student (short-term study abroad support; no degree granted),Not stated,According to program & needs,—,Academics & Motivation,According to the program,CIEE Portal + Documentation,CIEE Portal + Documentation,Register for the program → apply for a scholarship,https://www.ciee.org/go-abroad/college-study-abroad/scholarships-grants,Not a degree scholarship,yes,Not applicable,Not applicable,,,
Hubert Humphrey Fellowships,U.S. Department of State (ECA),government,Full scholarship (previously),**Postgraduate/Vocational** Program for Mid-Career Candidates,Application via Embassy/IIE,4–7,By country,By country,Not published yet,no,,**Minimum 5 years experience** required; Bachelor's degree required,—,yes,Policy/public affairs areas (by category),"Not a Bachelor's degree (mid-career, no degree)","Not a Bachelor's degree (mid-career, no degree)",—,≥5 years of professional experience,Required experience,"Public leadership, community service",—,National application + interview + English test,National application + interview + English test,According to the program process,https://www.humphreyfellowship.org/how-to-apply/eligibility/,**Not for Bachelors**,yes,Not applicable,Not applicable,,,
Civil Society Leadership Awards (CSLA),Open Society Foundations,fund / organization,"A$15,000 per year (up to A$75,000); about 20 awards per year",**STOPPED** from 2021,No applications accepted,no,no,no,0,no,,For historical reference only,—,—,—,Not Bachelor's degree (mainly Master's degree),Not Bachelor's degree (mainly Master's degree),—,—,—,—,—,—,—,—,—,https://www.opensocietyfoundations.org/grants/faq,OSF discontinues CSLA program from 2021,,Not applicable,Không áp dụng,,
Monash International Merit Scholarship,Monash University,university,15% or 30% tuition reduction (2025),For international students with Monash offers (UG/PG),Online application,Year-round,According to the announcement,According to the announcement,~20,yes,,International students with Monash offers,—,no,All UG disciplines are eligible,High school (international) + Monash pass,High school (international) + Monash pass,Not stated,Very high academic achievement,—,Academics & Achievements,Annual renewal if qualified,Online application + transcript,Online application + transcript,Submit & review in batches,https://www.monash.edu/study/fees-scholarships/scholarships/find-a-scholarship/international-merit-5770,Official site says A$15k/year,yes,Not published yet,Not published yet,,,
Adelaide Global Citizens Scholarship,University of Adelaide,university,"Up to A$48,000 for 4 years (undergraduate)",Automatically based on admission performance,Single/automatic (depending on the case),Year-round,In batches,In batches,Not published yet,yes,,International students enrolling in 2025,—,no,All UG disciplines are eligible,High school (international) + Adelaide pass,High school (international) + Adelaide pass,Not stated,High entry point,—,Academics,By invitation,Offer + form (if required),Offer + form (if required),Automatic review or short submission,https://international.adelaide.edu.au/admissions/scholarships/global-citizens-scholarships,Level 15%/30% 2025,yes,Not published yet,Not published yet,,,
University of Western Australia Global Excellence Scholarship,The University of Western Australia,university,"C$35,000 per year for 4 years (up to C$140,000)",Tuition fee reduction based on ATAR/WAM throughout the course,Single/automatic (depending on batch),Year-round,According to UWA milestone,According to UWA milestone,Not published yet,yes,,International students with UWA offers,—,no,All UG disciplines are eligible,High school (international) + passed UWA,High school (international) + passed UWA,Not stated,High entry point,—,Academics,Under UWA terms,Offer + profile,Offer + profile,In batches,https://www.uwa.edu.au/study/global-excellence-scholarship,UWA site states max A$48k,yes,Not published yet,Not published yet,,,
York University International Entrance Scholarship (of Distinction),York University,university,"Various levels; e.g., Welcome to Canada $10,000 (first year); Continue in Canada $40,000 for 4 years (specific conditions)",3 places/year; separate application required,Private online application,10–2,According to York landmark,According to York landmark,3,yes,,International students applying to York,—,no,All UG majors (except some engineering/CSc majors with adjustments),High school (international) + York pass,High school (international) + York pass,Not stated,Very high academics; leadership & activities,—,Academics + Leadership,4 year extension if qualified,Application + essay + references,Application + essay + references,Application & Selection,https://futurestudents.yorku.ca/financing-your-degree/international-scholarships,York page confirms C$35k x4,yes,Not published yet,Not published yet,,,
Western University International Admission Scholarships,Western University (Canada),university,Full or partial (depending on partner school; need-based),Automatically consider by category/nationality/study location,**9–1** (according to admission),According to Western landmark,According to Western landmark,Many portions,yes,Depends on the situation (studying outside/in Canada),,—,no,All UG disciplines are eligible,Bachelor,High school (international) + Western pass,High school (international) + Western pass,High entry point,—,Academics,According to specific scholarships,No prescription required (most),Automatic review & notification,Automatic review & notification,https://welcome.uwo.ca/next-steps/finances/welcome-to-canada-scholarship.html,Liên kết thêm Continue in Canada $40k/4y,yes,Not published yet,Not published yet, ,,,
QuestBridge National College Match,QuestBridge,fund / organization,"US$20,000 (up to 150 awards per year)",For 12th grade students **studying in the US** or US citizens/PRs abroad; **not for students in Vietnam**,Online application,8–9,According to QB schedule,End of 9,Not published yet,no,,Only US Citizens/PR or students studying in **USA**,—,no,All majors at partner schools,High school (US) + US citizen/PR (low-income; match partner university),High school (US) + US citizen/PR (low-income; match partner university),Not stated,Excellent performance; low income,—,"High academic performance, overcoming difficulties",By partner school,QB application + financial records,QB application + financial records,According to QB & school schedule,https://www.questbridge.org/apply-to-college/programs/national-college-match/apply,QB site states **not eligible** if studying outside the US,yes,Not applicable,Not applicable,,,
Coca-Cola Scholars Program,Coca-Cola Scholars Foundation,fund / organization,"US$20,000 plus comprehensive support",For 12th graders only **Federal Aid eligible (US citizenship/residency)**,Online application,8–10,According to the announcement,According to the announcement,~150,no,,Only US Citizens/US Nationals/PR etc.,—,no,All majors (universities in the US),High school (US) + US citizen/PR (private scholarship),High school (US) + US citizen/PR (private scholarship),Not stated,GPA/leadership (according to fund criteria),—,"Leadership, community activities",By fund,Online application + essay,Online application + essay,According to the fund schedule,https://www.coca-colascholarsfoundation.org/apply/,FAQ confirms only US residents are eligible,yes,Not applicable,Not applicable,,,
Dell Scholars Program,Michael & Susan Dell Foundation,fund / organization,"ER.GO grants (living, housing, meals; amount based on ISEE); tuition waiver by income",**Pell-eligible** requirement & participation in the **College Readiness** program; for 12th graders in the **USA**,Online application,10–12,According to schedule,According to schedule,~500,no,,US citizens/PRs only; FAFSA/Pell required,—,no,All majors (universities in the US),"High school (US) + US citizen/PR (low-income, college-readiness)","High school (US) + US citizen/PR (low-income, college-readiness)",≥2.4 (reference),Pell Grant required,Activities/trying to overcome difficulties,"Persistent, overcoming difficulties",By fund,Application + financial documents,Application + financial documents,According to the fund schedule,https://www.dellscholars.org/,For high school students in the US,yes,Not applicable,Not applicable,,,
University of Bologna Study Grants for International Students,University of Bologna,university / local government,Merit Award: 100% tuition waiver; International Award: 50% tuition waiver (undergraduate),For students (including international students) studying at schools in the Emilia-Romagna region; **Unibo is currently focusing on the Master scholarship “International Talents @Unibo”**; UG level uses the channel **ER.GO**,Online Application (ER.GO),7–9,According to annual call,According to annual call,Many portions,yes,,Open to international students in Emilia-Romagna,—,no,All majors at Unibo,High school (international) + University of Bologna entrance exam,High school (international) + University of Bologna entrance exam,Not stated,According to ISEE income index,—,Financial needs + progress,Renewal under ER.GO conditions,ER.GO form + income records,ER.GO form + income records,Submit ER.GO → review,https://www.unibo.it/en/study/study-grants-and-subsidies/ergo,UG: according to ER.GO; Unibo scholarships announced for Master 25/26,yes,Not applicable,Not applicable,,,
Bocconi Merit and International Awards,Università Bocconi,university,Beijing Government Scholarship (undergraduate): full or partial tuition waiver,Awarded based on admission performance; maintenance required,Single/automatic (depending on the round),10–5,According to Bocconi milestone,According to Bocconi milestone,Not published yet,yes,,International students admitted to Bocconi,—,yes,Economics/Business/Law (BSc & Law),High school (international) + Bocconi pass,High school (international) + Bocconi pass,Not stated,Excellent academic record,—,Academic excellence,Renewal if WAM standard is met,Priority consideration from admission records,Priority consideration from admission records,According to schedule,https://www.unibocconi.eu/studentassistance,Funding Page Summary 25/26; International Award 50%,yes,Not published yet,Not published yet,,,
Tsinghua University Scholarships,Tsinghua University,university / government,"Scholarships for new international students (Freshmen), CGS/BJ Govt (varies)","In addition, there are school/CGS scholarships (mainly PG); international UG often considers BGS",Automatic/single (depending on type),3–6,According to call,According to call,Not published yet,yes,,International students applying to Tsinghua,—,no,All UG disciplines are eligible,High school (international) + Tsinghua pass,High school (international) + Tsinghua pass,Not stated,High academic achievement,—,Academics,By invitation,Offer + (if needed) scholarship form,Offer + (if needed) scholarship form,Review & Announce,https://www.tsinghua.edu.cn/en/Admissions/International_Students1/Financial_Aid.htm,Page states **Beijing Government Scholarship (UG)**,yes,Not published yet,Not published yet,,,
Peking University Scholarships,Peking University,university / government,"Various levels: SMU International Scholarship (~S$10,000–S$20,000 per exchange term) and full-degree awards from SMU/sponsors","Various (PKU Freshmen, CGS, Beijing Govt.); number of slots varies by year",Automatic/single (depending on type),5–7,According to call,According to call,Not published yet,yes,,International students admitted to PKU,—,no,All UG disciplines are eligible,High school (international) + passed Peking University,High school (international) + passed Peking University,Not stated,Academic excellence,—,Academics & Activities,By invitation,Offer + (if any) scholarship application,Offer + (if any) scholarship application,Review & Announce,https://english.pku.edu.cn/,The English site has a “scholarships” section; there is a **Freshmen Scholarship**,yes,Not published yet,Not published yet,,,
Singapore Management University Scholarships,Singapore Management University (SMU),university,"C$3,000 (one-year); C$12,000–48,000 (Major Entrance, up to 4 years)","Many categories (SMU International, Diana Koh, Dato’ Kho…); some are specific to ASEAN/female/financial need students",Automatic/Single (depending on scholarship),9–5,According to SMU milestone,According to SMU milestone,Many portions,yes,,International/ASEAN students; some scholarships with specific criteria,ASEAN/female/income… (depending on scholarship),yes,All majors at SMU,High school (international) + passed SMU,High school (international) + passed SMU,Not stated,High academic standing; may require household income,—,"Academics, leadership, activities",According to the conditions of each scholarship,Admission application + (if required) scholarship form,Admission application + (if required) scholarship form,Automatic review/individual application,https://admissions.smu.edu.sg/scholarships/prospective-students/international-students,See also Diana Koh/SMU International Exchange Scholarship,yes,Not published yet,Not published yet,,,
Entrance Scholarships – McGill University,McGill University,university,One-year grant (paid in two instalments); amount varies annually,Major single required; One-year automatic,Single/automatic,10–1,According to McGill landmark,According to McGill landmark,Many portions,yes,,Full-time first-year students,—,no,All UG disciplines are eligible,High school (international) + passed McGill,High school (international) + passed McGill,Not stated,Very high academics; leadership (with Major),—,Academics & Leadership,Major extended to 4 years,Major Application via Portal; One-year Automatic,Major Application via Portal; One-year Automatic,According to schedule,https://www.mcgill.ca/studentaid/scholarships-aid/future-undergrads/entrance-scholarships,Summarize for your general reference,yes,Not published yet,Not published yet,,,
ACI Foundation Scholarship,ACI Foundation (American Concrete Institute),fund / organization,"US$20,000–50,000 depending on level",For students pursuing concrete/construction/materials; both **Undergraduate** and **Fellowship** positions available,Online application on ACI portal,7–10,According to the announcement,Around 1–11 (according to ACI cycle),Many portions,yes,,Full-time concrete related students at recognized universities,—,yes,Concrete/Materials/Construction/Structural…,High school (or equivalent) + construction/engineering (depending on ACI program),High school (or equivalent) + construction/engineering (depending on ACI program),Not stated,"Good academic record, concrete industry orientation",—,"Academics, career orientation, ACI participation",By invitation,Online application + transcript + recommendation letter,Online application + transcript + recommendation letter,Submit to ACI portal → interview/assessment → exchange,https://www.acifoundation.org/scholarships.aspx,ACI site confirms **Undergraduate scholarship**,yes, , ,,,
AAUW International Fellowship Program,AAUW,fund / organization,"£10,000 tuition (usually one year)",**For Masters/PhD only**; **not applicable for Bachelors**,Online application,8–11,According to the announcement,According to the announcement,"~3,000 (total fund system)",yearly),,yes,"**Female** applicants, not US citizens/PR; for **Master's/Doctorate**",—,,Non-Bachelor's Degree (Postgraduate AAUW),Non-Bachelor's Degree (Postgraduate AAUW),—,Not stated,Currently/past graduate school,—,"Leadership, social impact",By invitation,By invitation,Application + admission letter + financial documents,Nộp cổng AAUW → xét chọn,https://www.aauw.org/resources/programs/international-fellowships/,Not applicable for Bachelor,yes, ,,,
GREAT Scholarships,British Council (Study UK) + các ĐH Vương quốc Anh,fund / organization,"Full scholarship (tuition, living stipend, insurance, round-trip airfare)",Only for **taught Master’s** at UK Universities; list of countries (including Vietnam) & participating schools,Application through each partner school,10–5,By school,By school,~200+ places/year,yes,,Citizens of eligible countries (including Vietnam),List of 18 countries by year,yes,According to the list of majors of each school,Not Bachelor's (GREAT: Master in UK),Not Bachelor's (GREAT: Master in UK),Not stated,Meets partner school criteria,—,Academic/Motivation,By partner school,School profile + scholarship form,School profile + scholarship form,Apply to school → submit GREAT at school,https://study-uk.britishcouncil.org/scholarships-funding/great-scholarships,**Not a Bachelor's Degree**,yes, , ,,,
Swedish Institute Scholarships for Global Professionals (SISGP),,government,"Various levels: from A$5,000–A$20,000 per year up to full tuition (some flagship programs)",**For Master’s**; citizens of eligible countries required; subject list available,SI Online Application + UniversityAdmissions.se,1–2,According to SI,According to SI,~350–400 (depending on the year),yes,,Citizens on the eligible list (may include VN depending on the year),—,yes,Only **Master’s** eligible list,Not Bachelor's degree (SISGP: Master in SE),Not Bachelor's degree (SISGP: Master in SE),Not stated,Work & Leadership Experience,Work experience,"Leadership, sustainability, social impact",By invitation,SI application + Swedish admission documents,SI application + Swedish admission documents,Apply to UCAS Sweden → apply to SI,https://si.se/en/apply/scholarships/swedish-institute-scholarships-for-global-professionals/,Not applicable to Bachelor's degree,yes, , ,,,
University of New South Wales International Scholarships,Swedish Institute (SI),university,"C$50,000 per year for 3 years","Applicable to international students; based on merit, leadership, and extracurricular activities",Online or automatic application (depending on type),3–10,In batches,In batches,Many portions,yes,,International students enrolling at UNSW,—,no,All Bachelor's degree coursework,High school (international) + passed UNSW,High school (international) + passed UNSW,Not stated,Strong academic record; interviewable,—,Academics & Leadership,Under UNSW conditions,Application + transcript + essay (if required),Application + transcript + essay (if required),Submit on portal → review,https://www.unsw.edu.au/study/your-future/international-scholarships,UNSW International Scholarships General Page,yes, , ,,,
Vanier Canada Graduate Scholarships,UNSW Sydney,government,Tuition/living support (depending on partner),**PhD/MD-PhD only**; UG not applicable,Nominated by Canadian schools,6–10,By nomination basis,According to Vanier,~166/year,no,,Requirement: Currently/Preparing to Study **PhD**; PhD study time ≤ 20 months…,—,no,—,Not a Bachelor's degree (PhD),Not a Bachelor's degree (PhD),Not stated,According to Vanier regulations (PhD),Research experience,"Leadership, research, academics",According to the regulations,Nominated schools on ResearchNet,Nominated schools on ResearchNet,According to the Vanier calendar,https://vanier.gc.ca/en/eligibility-admissibilite.html,Not for Bachelors,yes, , ,,,
Zawadi Africa Education Fund,Zawadi Africa,fund / organization,"Full or partial: tuition, living stipend, dormitory, insurance",For **female** students with financial need in **Africa**; annual **Feb–Apr** deadline,Zawadi Online Application + Partners,2–4,February 1,April 30,Many portions,no,,Only citizens of African countries,—,no,By program/partner,"High school (female, African citizens according to the list) + passed the partner university","High school (female, African citizens according to the list) + passed the partner university",Not stated,KCSE A/A- (typical); leadership,—,"High academics, leadership, overcoming difficulties",According to partner regulations,Online application + transcript + essay,Online application + transcript + essay,Submit Zawadi → review/recommend school,https://www.zawadiafrica.org/apply-now/,Not open for VN,yes, , ,,,
Stipendium Hungaricum,Hungary – Tempus Public Foundation,government,"Full scholarship: tuition, airfare, stipend BND$650/month plus dormitory",Open for **Bachelor/Master/PhD/Non-degree**; **UG** places available; 1 year Hungarian preparatory course available,TPF system online application + via sending partner,10–1,According to call,Depending on the country (Vietnam according to partner announcement),"~5,000+ (whole program)",yes,,Citizens of partner countries (including Vietnam),List of sending partners,no,All majors according to *Study Finder*,High school (or equivalent) + nomination + university entrance exam in Hungary (UG track available),High school (or equivalent) + nomination + university entrance exam in Hungary (UG track available),Not stated,According to the criteria of sending country and receiving school,—,"Academics, motivation",Extension as prescribed,Portal account + full profile,Portal account + full profile,Submit portal + via sending agency,https://stipendiumhungaricum.hu/apply/,Call 2026/27 posted,yes, , ,,,
Government of Brunei Darussalam Scholarship,Brunei MFA,government,Tuition waiver plus living stipend plus dormitory (varies by university),Apply for **Undergraduate** & Master at Brunei schools,Online Application (BDGS),1–2,According to the announcement,According to the announcement,Limited quantity/Quota available,yes,,Citizens of eligible countries (including Vietnam),—,no,All majors according to school quota,High school (or equivalent) + university entrance exam in Brunei (UG track available),High school (or equivalent) + university entrance exam in Brunei (UG track available),Not stated,Academic & language requirements by school,—,Academics & Motivation,By invitation,BDGS application + documents,BDGS application + documents,Brunei MFA Portal → review,https://www.mfa.gov.bn/Pages/scholarship.aspx,Section 2025/26 – BDGS,yes, , ,,,
ICCR Scholarships,Indian Council for Cultural Relations (ICCR),government,"Full scholarship: tuition, monthly allowance, airfare, insurance",Have **Undergraduate**; apply via **A2A** portal; multiple schemes (A1201…),**A2A** ICCR Gate,2–4,Around February 20,According to call,640 slot (A1201) 2025-26 (reference),yes,,Citizens of partner countries (including Vietnam),List by Embassy/TEO,no,All majors by school category,High school (or equivalent) + Indian university entrance exam (UG track available),High school (or equivalent) + Indian university entrance exam (UG track available),Not stated,According to the conditions of the receiving school,—,Academic/Motivation,According to the regulations,Sign up for A2A + profile,Sign up for A2A + profile,Embassy confirmation → ICCR review,https://a2ascholarships.iccr.gov.in/,Official A2A page,yes, , ,,,
Kemitraan Negara Berkembang (KNB),Indonesia – Kemdikbudristek,government,Tuition plus stipend (depending on program),Mainly traditional **Master/PhD**; some batches/units have limited UG,Online application + Embassy recommendation letter,2–5,According to call,According to call,Not published yet,yes,,Citizens of developing countries (including Vietnam),—,Limited,According to the list of KNB schools/majors,Unknown/not preferred UG (KNB usually Master/PhD),Unknown/not preferred UG (KNB usually Master/PhD),Not stated,According to annual call,—,Academics & Motivation,According to the regulations,Application + letter of recommendation + profile,Application + letter of recommendation + profile,According to call,https://knb.kemdiktisaintek.go.id/,See Guide every year,yes, , ,,,
Kazakhstan Government Scholarship (Bolashak/State grants),Kazakhstan – International Programs Center/ENIC,government,Tuition waiver plus dormitory plus basic allowance (varies by school),Primarily **for Kazakhstan citizens**; international student slots vary by year,Online application,6–8,According to call,According to call,Not published yet,Unknown,,Kazakhstan nationals preferred; international opportunities **unstable**,—,no,According to the program,Not Bachelor's degree (Bolashak mainly post-graduate),Not Bachelor's degree (Bolashak mainly post-graduate),Not stated,According to local regulations,—,Academics,According to the regulations,Online application,Online application,According to call,https://enic-kazakhstan.edu.kz/en/post/94,Official information for previous batch; status changes,Unknown, , ,,,
Russian Government Scholarship (Open Doors / Quota),Russia – Rossotrudnichestvo + Global Universities,government,"€10,000 plus full tuition waiver (one year)",**Quota** route via Rossotrudnichestvo; **Open Doors** mainly PG; UG via national quota,Online application (quota) / Open Doors,10–2,By country/representative,According to the representative,"~15,000 seats/year (quota)",yes,,International citizens (including Vietnamese),According to water standards,no,According to the list of Russian schools,Non-Bachelor's Degree (Open Doors: Master/PhD),Non-Bachelor's Degree (Open Doors: Master/PhD),Not stated,According to representative & school regulations,—,Academics,According to the regulations,Application through Rossotrudnichestvo/portal representative,Application through Rossotrudnichestvo/portal representative,According to call,https://od.globaluni.ru/,"UG via **quota**, Open Doors mainly PG",yes, , ,,,
GOI-IES (Government of Ireland – International Education Scholarships),Ireland – HEA,government / fund,Tuition waiver plus stipend (depending on university or program),**For Master/PhD**; not applicable to Bachelor's degree,Online application,1–3,According to call,According to call,60/year,no,,Non-EU/EEA requirements,—,no,—,Not Bachelor's degree (GOI-IES mainly Master's),Not Bachelor's degree (GOI-IES mainly Master's),Not stated,According to Master/PhD admission standards,—,Academics & Motivation,By invitation,Apply through HEA + school offer,Apply through HEA + school offer,According to call,https://hea.ie/policy/internationalisation/goi-ies/,Not applicable Bachelor,yes, , ,,,
Qatar Scholarships (multi-partner),Qatar Scholarships (EAA/đối tác & các ĐH tại Qatar),government,"HK$80,000 per year for non-local students (Outstanding Performance scheme)",There are **Undergraduate** at some schools (e.g. Lusail University) according to the category,Application through partner program/university,3–6,In batches,In batches,Not published yet,yes,,Citizens of developing countries (including Vietnam),By program,yes,By category of each school,High school (or equivalent) + according to program partner (conditions vary),High school (or equivalent) + according to program partner (conditions vary),Not stated,According to each university's criteria,—,Academics & Motivation,By program,University profile + scholarship form,University profile + scholarship form,By category,https://www.qatarscholarships.qa/,The Programs page lists the UG level,yes, , ,,,
HKSAR Belt and Road Scholarship (HKSAR GSF – Outstanding Performance),HKSAR Education Bureau,government,"Tuition waiver plus stipend CZK 12,000/month (pre-master’s level)",Administered by the **HKSAR Government Scholarship Fund**; some schools (e.g. HKU) have a full tuition **Belt and Road** at the school level,Nominated by schools in HKSAR,9–4,By school year,By school year,Thousands (total fund),yes,,"Non-local students studying in HK (full-time, accredited)",—,no,All industries are eligible,High school (international) + B&R nationality + university entrance exam in HK,High school (international) + B&R nationality + university entrance exam in HK,Not stated,Excellent academic achievements,—,Academics & Activities,Extension as prescribed,Nominating school + profile,Nominating school + profile,School review → EDB approval,https://www.edb.gov.hk/en/edu-system/postsecondary/local-higher-edu/publicly-funded-programmes/scholarship.html,HKU also has its own full tuition B&R line at the school level.,yes, , ,,,
Czech Government Scholarship (Developing Countries),Czech Republic – MEYS,government,Tuition waiver plus dormitory plus monthly stipend (varies by level),Mainly for **Master/PhD**; **Undergraduate** usually through Czech language preparatory course + Czech language teaching major,Online application,4–9,According to call,**09/30/2025** (for 2026/27),Hundreds,yes,,Citizens of developing countries (including Vietnam),Priority countries list,Limited,According to the priority industry list,High school (for Czech UG track; with preparatory) + national requirements,High school (for Czech UG track; with preparatory) + national requirements,usually Czech),Not stated,According to MEYS criteria & school,—,Academics/Potential,According to the regulations,According to the regulations,Online application + documents,Theo call,https://msmt.gov.cz/eu-and-international-affairs/government-scholarships-developing-countries,"Level **CZK 12,000/month**; deadline 09/30/2025",yes, ,,,
Romanian Government Scholarship (MFA),Romania – MFA,government,Category B (undergraduate): 100% tuition waiver plus insurance; Category A mainly for postgraduate,Open for **Bachelor/Master/PhD**; apply via the Study in Romania platform,Online application,1–3,According to call,According to call,Not published yet,yes,,Non-EU citizens (including Vietnam),—,no,All industries (some exclusions),High School (UG Romanian track + 1 year of language preparation),High School (UG Romanian track + 1 year of language preparation),Not stated,Average score ≥7/10 or **Good** rating,—,Academics & Motivation,According to the regulations,Portal Study in Romania + profile,Portal Study in Romania + profile,Submit portal → selection,https://scholarships.studyinromania.gov.ro/,MFA/Study in Romania page,yes, , ,,,
Shanghai Government Scholarship (SGS),Shanghai Municipal Government,government,"CNY 20,000 per year (College) or CNY 30,000 per year (Undergraduate) – partial",Apply through schools in Shanghai; there is a 1+4 Chinese program,Application to school in Shanghai,1–5,According to school call,According to school call,Not published yet,yes,,International students (non-Chinese),—,yes,According to the list of schools in Shanghai,High school (international) + university entrance exam in Shanghai,High school (international) + university entrance exam in Shanghai,Not stated,According to the school's admission criteria,—,Academics & Motivation,By invitation,School application + (if required) SGS form,School application + (if required) SGS form,By school,https://ies.ecust.edu.cn/en/msg.php?id=74,Class B applies UG: free tuition + insurance,yes, , ,,,
Jiangsu Jasmine Scholarship,Jiangsu Provincial Government,government,Full or partial tuition waiver,1 year validity; renewable; submitted through school in Jiangsu province,Application through school,3–6,According to call,According to call,Not published yet,yes,,International students at schools in Jiangsu,—,no,By school directory in Jiangsu,High school (international) + university entrance exam in Jiangsu,High school (international) + university entrance exam in Jiangsu,Not stated,According to school criteria,—,Academics,By invitation,Application + profile,Application + profile,By school,https://iso.usts.edu.cn/en/Scholarship/Jiangsu_Jasmine_Scholarship.htm,"Some sites say 30,000 CNY/year for UG",yes, , ,,,
Beijing Government Scholarship (BGS),Beijing Municipal Government (qua các ĐH),government,"Full scholarship: tuition, accommodation, monthly stipend, insurance, airfare","Register at universities in Beijing (PKU, BNU…); UG up to 4 years",Application to each school,3–6,By school,By school,Not published yet,yes,,International students apply to universities in Beijing,—,no,According to the school's industry,High school (international) + university entrance exam in Beijing,High school (international) + university entrance exam in Beijing,Not stated,By school criteria (score/ELP),—,Academics,By invitation,School application + BGS form,School application + BGS form,By school,https://english.beijing.gov.cn/studyinginbeijing/scholarshipapplications/202006/t20200617_1926391.html,PKU/BNU has detailed instructions for UG,yes, , ,,,
King Abdulaziz University Scholarship,King Abdulaziz University (Saudi Arabia),university,Tuition waiver plus possible allowance (depending on category),Open for **Undergraduate/Master/PhD**; apply online,Online application,8–10,According to call,According to call,Not published yet,yes,,International students,—,no,By KAU industry,High school (international) + King Abdulaziz University (UG available),High school (international) + King Abdulaziz University (UG available),Not stated,According to KAU criteria,—,Academics & Ethics,According to the regulations,Online application + academic documents + passport,Online application + academic documents + passport,Review & Notification,https://kau.edu.sa/page/scholarship,KAU site confirms UG/PG slots available,yes, , ,,,
Khalifa University Undergraduate Scholarship,Khalifa University (UAE),university,10 full tuition plus living stipend awards; 23 full tuition awards (per year),Applicable to international students & UAE citizens; terms & conditions as per annual notice,Online application,8–12,According to call,According to call,Not published yet,yes,,International or UAE students are eligible,—,no,Bachelor's Degree at KU,High school (international) + passed Khalifa University (UAE),High school (international) + passed Khalifa University (UAE),Not stated,According to KU admission standards,—,Good academics; English required,According to KU regulations,Online application + academic records,Online application + academic records,Submit via KU portal → review,https://www.ku.ac.ae/scholarships-undergraduate,See International Students section,yes, , ,,,
UCL Global Undergraduate Scholarship,University College London (UCL),university,"£6,500 or £13,000 per year (tuition waiver)",For international students from low-income backgrounds; based on **need** + academic record,Online application (after applying to UCL),1–4,According to the announcement,UCL set (e.g. 28/04/2025 17:00 BST),~33+ seats/year,yes,,Overseas fee; low income background,—,no,All full-time Bachelor's degrees,High school (international) + UCL pass (need-based/merit),High school (international) + UCL pass (need-based/merit),Not stated,Applied to UCL; demonstrate financial need,—,Academic achievement + financial need,According to study time,Scholarship application + financial proof,Scholarship application + financial proof,Submit online → selection,https://www.ucl.ac.uk/scholarships/ucl-global-undergraduate-scholarship,There are separate submission instructions.,yes, , ,,,
