Scholarship_Name,Tổ chức cấp học bổng,Loại học bổng,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,Giới hạn đối tượng,Danh sách giới hạn đối tượng (nếu có),Giới hạn ngành nghề,Danh sách nhóm ngành / ngành cụ thể,Bằng cấp yêu cầu,GPA tối thiểu,Yêu cầu xếp hạng / liên quan ngành học,Kinh nghiệm yêu cầu,Năng lực & thành tích (requirements.competencies),Điều kiện gia hạn học bổng,Hồ sơ yêu cầu,Quy trình nộp hồ sơ,Liên kết học bổng (URL),Ghi chú (nếu có),Thường niên (Có/Không/Chưa rõ),,,
Wellcome International Masters Fellowships,Wellcome,Quỹ / Tổ chức,Trợ cấp & học phí (trước đây),Chương trình **đã đóng**; trước đây hỗ trợ ứng viên từ LMIC học bậc ThS + dự án nghiên cứu,— (đã đóng),—,—,—,—,Có,Công dân LMIC,Y tế/ y sinh/ sức khoẻ cộng đồng (tuỳ vòng),"Y tế cộng đồng, nhiệt đới… (tuỳ đợt)",Bằng cử nhân liên quan,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Thành tích nghiên cứu/tiềm năng lãnh đạo KH,—,—,—,https://wellcome.org/research-funding/schemes/international-masters-fellowships-closed,Hiện **không còn mở**,Không,,,,
Obama Foundation Scholars Program,Obama Foundation (phối hợp Columbia University),Quỹ / Tổ chức,Toàn phần trong thời gian cư trú học thuật,"Học phí cho tối đa 4 học phần, trợ cấp sinh hoạt hàng tháng, căn hộ furnitured gần campus, bảo hiểm, hoạt động chuyên môn",Tự nộp trực tuyến,Chưa rõ,Chưa rõ,Chưa rõ,~10–15 (tuỳ năm),Có,Lãnh đạo trẻ có tác động xã hội,Không nêu,Đa lĩnh vực chính sách/xã hội,Bằng cử nhân (yêu cầu nền tảng học thuật),Cử nhân (hoặc tương đương),Không nêu,Kinh nghiệm lãnh đạo/ tác động cộng đồng,"Thành tích lãnh đạo, cam kết phục vụ công chúng","Theo khoá (9 tháng), không gia hạn","Hồ sơ trực tuyến, bài luận, thư giới thiệu",Nộp trên cổng Columbia World Projects,https://www.obama.org/programs/scholars/columbia-university/,Chương trình cư trú học thuật 9 tháng,Có,,,,
Shanghai Government Scholarship,Shanghai Municipal Government,Chính phủ,Toàn phần/ bán phần,"Hạng A (ThS/PhD): học phí, BHYT, ký túc xá, trợ cấp hàng tháng; Hạng B: học phí + BHYT",Tự nộp qua cổng trực tuyến,Thường Q1–Q2,Chưa rõ,Chưa rõ,Không nêu,Có,Người nước ngoài đủ điều kiện tuổi/bậc học,Không nêu,Theo chương trình tại các ĐH ở Thượng Hải,THPT/ Cử nhân/ ThS (tuỳ bậc),Cử nhân (hoặc tương đương),Không nêu,Không nêu,Đáp ứng yêu cầu học thuật & sức khoẻ; tuổi theo bậc,Theo thời hạn chương trình & kết quả,Hồ sơ online theo hướng dẫn trường/SGS,Đăng ký trên cổng Apply Shanghai/ cổng trường,https://english.shanghai.gov.cn/en-ApplyforScholarships/index.html,Có nhiều trường tham gia; đọc hướng dẫn từng trường,Có,,,,
Japan Africa Dream Scholarship (JADS),African Development Bank & Government of Japan (JICA),Chính phủ,Toàn phần (2 năm ThS),"Học phí, trợ cấp sinh hoạt, vé máy bay, bảo hiểm…; chỉ cho công dân nước thành viên AfDB",Tự nộp + cần thư mời/nhập học tại trường đối tác,Chưa rõ,Chưa rõ,Chưa rõ,Không,Công dân nước thành viên AfDB ≤35 tuổi,"Hạn theo lĩnh vực phát triển (năng lượng, hạ tầng…)","Năng lượng, nông nghiệp, y tế, môi trường…",Bằng cử nhân phù hợp,Không nêu,Cử nhân (hoặc tương đương),≥1 năm kinh nghiệm có lương,Thành tích học thuật + cam kết trở về phục vụ,Theo thời hạn chương trình (2 năm),Hồ sơ online + thư mời trường,Nộp theo hướng dẫn AfDB/JADS & trường tiếp nhận,https://www.afdb.org/en/about-us/careers/japan-africa-dream-scholarship-jads-program,Chỉ cho công dân châu Phi thành viên AfDB,Có,,,,,
Pan African University Scholarship,African Union – Pan African University,Chính phủ,Toàn phần,"Học phí, chỗ ở, sinh hoạt; BHYT từ khoản trợ cấp",Tự nộp qua nền tảng PAU,Thường Q1–Q2,Chưa rõ,Chưa rõ,Không nêu,Không,Chỉ công dân châu Phi,"Theo viện (STEM, Khoa học xã hội, Quản trị…)",Theo từng viện/chương trình PAU,Bằng cử nhân liên quan,Cử nhân (hoặc tương đương),Không nêu,Không nêu,"Thành tích học thuật, tiềm năng lãnh đạo",Theo tiến độ học tập đạt yêu cầu,Hồ sơ online theo hướng dẫn PAU,Đăng ký trên cổng tuyển PAU,https://pau-au.africa/admissions/scholarships,Chỉ dành cho công dân châu Phi,Có,,,,
Skoltech Master's Scholarship,Skolkovo Institute of Science and Technology (Skoltech),Trường,Toàn phần + trợ cấp hàng tháng,Miễn 100% học phí; trợ cấp ~40.000–55.000 RUB/tháng (MSc); BHYT; có học bổng chuyên biệt theo quốc tịch/thoả thuận,Tự nộp trực tuyến,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Người nộp đáp ứng điều kiện tuyển sinh & tiếng Anh,Không nêu,Các ngành MSc tại Skoltech (STEM),Bằng cử nhân phù hợp,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Hồ sơ học thuật mạnh; tiếng Anh; phỏng vấn/thi môn,Gia hạn theo kết quả học tập,"Hồ sơ online, bảng điểm, tiếng Anh, CV, thư…",Đăng ký trên cổng Skoltech Admissions,https://student.skoltech.ru/,Stipend cụ thể tuỳ năm/chương trình,Có,,,,
UNIL Master's Grants (Lausanne),University of Lausanne (UNIL),Trường,Trợ cấp sinh hoạt,CHF 1.600/tháng (10 tháng/năm) trong thời lượng chuẩn của chương trình; miễn phí ghi danh cố định (vẫn có phí hành chính nhỏ),Tự nộp bậc học bổng song song hồ sơ nhập học,Mở khoảng 9–11,Chưa rõ,1/11 (thường niên),~10 suất/năm,Có,"Không áp dụng một số ngành (Y, Sư phạm, vài ngành Luật/Thể chất/Health Sciences, MAS…)",Theo danh mục đủ điều kiện của UNIL,Bằng cử nhân (ngoài Thụy Sĩ),Không nêu,Cử nhân (hoặc tương đương),Không nêu,Thành tích học thuật xuất sắc; đáp ứng ngôn ngữ,Theo tiến độ & kết quả học tập,Bộ hồ sơ giấy/online theo hướng dẫn UNIL,Gửi trước deadline; xét tuyển cạnh tranh,https://www.scholars4dev.com/6578/switzerland-univeristy-lausanne-scholarships-for-international-students/,Trang chính thức UNIL bị chặn robots qua công cụ; tham chiếu mô tả công khai,Có,,,,,
University of Geneva Excellence Master Fellowships,University of Geneva – Faculty of Science,Trường,Trợ cấp 10.000–15.000 CHF/năm,"Cấp 1 năm, có thể gia hạn đến hết thời lượng chính thức của chương trình nếu kết quả HK1 đạt yêu cầu",Tự nộp kèm/ sau hồ sơ Master,Chưa rõ,Chưa rõ,Chưa rõ,Không nêu,Có,Ứng viên Master Khoa học (thuộc Faculty of Science),Khoa học tự nhiên/Toán/CS… theo danh mục của khoa,Các chương trình MSc thuộc Faculty of Science,Bằng cử nhân phù hợp,Cử nhân (hoặc tương đương),Top ~10% (khuyến nghị),Không nêu,Thành tích học thuật rất cao,Gia hạn nếu đạt yêu cầu sau HK1,Hồ sơ online theo hướng dẫn khoa,Nộp qua trang Faculty of Science UNIGE,https://www.unige.ch/sciences/en/enseignements/formations/masters/excellencemasterfellowships,Nêu rõ mức 10–15k CHF/năm,Có,,,,
KAAD Scholarship (Catholic Academic Exchange Service),KAAD (Catholic Academic Exchange Service),Quỹ / Tổ chức,Trợ cấp học bổng + hỗ trợ học tập,Dành cho ứng viên từ các nước đang phát triển; ưu tiên Kitô hữu/Công giáo (ứng viên tôn giáo khác có thể được đề cử),Kết hợp đề cử + tự nộp (tuỳ chương trình),Chưa rõ,Chưa rõ,Chưa rõ,Không nêu,Có,Công dân nước đang phát triển; yêu cầu liên hệ mạng lưới/đối tác Giáo hội,Không nêu,Theo ngành dự định học tại Đức,Bằng cử nhân (vào ThS) / bằng phù hợp,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Thành tích học thuật; cam kết xã hội/giáo hội; tiếng Đức/Anh,Theo tiến độ chương trình,Hồ sơ qua cổng KAAD và/hoặc đối tác,Theo hướng dẫn “Programme 1/2/EE” của KAAD,https://www.kaad.de/en/stipendien,Có nhiều “programme” khác nhau,Có,,,,
JFUNU Scholarship (UN University,Japan),Japan Foundation for UNU (JFUNU) & UNU-IAS,Quỹ / Tổ chức,Trợ cấp 120.000 JPY/tháng; có thể miễn học phí,Tối đa 24 tháng cho MSc in Sustainability; không bao gồm vé máy bay/visa/bảo hiểm,Tự nộp cùng hồ sơ thạc sĩ UNU-IAS,Chưa rõ,Chưa rõ,Chưa rõ,Không nêu,Có,Ứng viên từ quốc gia đang phát triển cần hỗ trợ tài chính,Không nêu,MSc in Sustainability (UNU-IAS),Cử nhân (hoặc tương đương),Không nêu,Không nêu,Không nêu,Thành tích học thuật; nhu cầu tài chính,Theo thời lượng chương trình,Hồ sơ MSc + form học bổng theo hướng dẫn UNU-IAS,Nộp trực tuyến qua UNU-IAS,https://unu.edu/ias/msc-scholarships,Mức trợ cấp công bố rõ trên trang UNU,Có,,,
Malaysia International Scholarship (MIS),Ministry of Higher Education Malaysia,Chính phủ,Hỗ trợ học phí + trợ cấp (tuỳ đợt công bố),Học bổng sau ĐH cho ứng viên quốc tế theo tiêu chí MOHE; lịch mở đợt công bố hằng năm,Tự nộp trực tuyến,Thường Q2–Q4 (tuỳ năm),Chưa rõ,Theo thông báo từng năm,Không nêu,Có,Ứng viên quốc tế (không phải công dân Malaysia),Không nêu,Các ngành tại cơ sở ĐH Malaysia đủ điều kiện,Bằng cử nhân (để vào ThS),Cử nhân (hoặc tương đương),Không nêu,Không nêu,Thành tích học thuật; tiếng Anh; điều kiện MOHE,Theo quy định MOHE,Hồ sơ online qua cổng MIS,Đăng ký trên cổng MOHE,https://biasiswa.mohe.gov.my/INTER/index.php,Kiểm tra đợt mở: có khi vào cuối năm,Có,,,,
Kazakhstan Government Scholarships,Ministry of Science and Higher Education (Republic of Kazakhstan),Chính phủ,Học phí + trợ cấp hàng tháng,"Chỉ tiêu gần đây: ~490 (Cử nhân), 50 (ThS), 10 (PhD) cho ứng viên quốc tế; nộp trực tuyến",Tự nộp trực tuyến,Thường Q2,Chưa rõ,Chưa rõ,Nêu chỉ tiêu theo năm,Có,Công dân nước ngoài (bao gồm người gốc Kazakh không có quốc tịch),Không nêu,Theo chương trình tại ĐH Kazakhstan,THPT (UG) / Cử nhân (ThS),Cử nhân (hoặc tương đương),Không nêu,Không nêu,Thành tích học thuật theo ngưỡng từng trường,Theo tiến độ học tập,Hồ sơ online theo hướng dẫn Trung tâm QG Phát triển GDĐH,Nộp trên cổng trung tâm MSHE RK,https://enic-kazakhstan.edu.kz/en/post/231,Phân biệt với Bolashak (cho công dân Kazakhstan),Có,,,,
Moroccan Government Scholarships,Agence Marocaine de Coopération Internationale (AMCI),Chính phủ,Hỗ trợ học phí/ sinh hoạt (tuỳ chương trình & thoả thuận song phương),Dành cho SV quốc tế qua kênh hợp tác song phương; nộp qua cơ quan đề cử/ĐSQ,Qua cơ quan đề cử/Đại sứ quán/AMCI,Thường Q2–Q3,Chưa rõ,Chưa rõ,Không nêu,Có (tuỳ thoả thuận song phương),Theo quota/hiệp định giữa Maroc & nước ứng viên,Không nêu,Theo chương trình tại cơ sở Maroc,THPT (UG) / Cử nhân (ThS),Cử nhân + kinh nghiệm nghề nghiệp (theo yêu cầu ESMT MBA),Không nêu,Không nêu,Thành tích học thuật; thủ tục ngoại giao,Theo tiến độ & quy định AMCI,Form AMCI + hồ sơ qua cơ quan quốc gia,Nộp qua kênh ngoại giao + AMCI,https://www.amci.ma/,Xem thêm trang “Coopération académique” của AMCI,Có,,,,
,,,,,,,,,,,,,,,Cử nhân (hoặc tương đương),,,,,,,,,,,,,
KAIST International Student Scholarship,KAIST (Korea Advanced Institute of Science and Technology),Trường,Miễn học phí; trợ cấp sinh hoạt; bảo hiểm y tế (mức cụ thể theo bậc/program),Áp dụng cho SV quốc tế; yêu cầu tiến bộ học thuật để duy trì; chi tiết bởi từng trường/khoa,Tự nộp hồ sơ cùng tuyển sinh KAIST,Chưa rõ,Chưa rõ,Chưa rõ,Không nêu,Có,SV quốc tế trúng tuyển KAIST,Không nêu,Các ngành được tuyển sinh tại KAIST,STEM và các ngành tại KAIST,Cử nhân + kinh nghiệm làm việc (theo yêu cầu chương trình MBA),Không nêu,Không nêu,Không nêu,Thành tích học thuật; năng lực ngoại ngữ theo yêu cầu,Theo kết quả học tập hàng kỳ,Hồ sơ nhập học + mục học bổng theo hướng dẫn,Nộp qua cổng tuyển sinh KAIST,https://www.kaist.ac.kr/en/html/edu/03100502.html,Chính sách/mức cụ thể khác nhau theo đơn vị; kiểm tra từng bậc học,Có,,,
POSCO TJ Park (Asian Fellowship at SNU),POSCO TJ Park Foundation (POSCO Asia Fellowship),Quỹ / Tổ chức,Hỗ trợ học phí + sinh hoạt (nêu là full tuition & living trên tài liệu/press),Dành cho công dân châu Á theo học ThS/PhD tại ĐH Hàn Quốc (có SNU trong danh sách trường),Đề cử bởi trường tiếp nhận + nộp qua POSCO,Chưa rõ,Chưa rõ,Chưa rõ,≈20–50/năm (có biến động theo năm),Có,Công dân châu Á học ThS/PhD tại Hàn Quốc,Châu Á,Theo ngành ở trường Hàn Quốc được nhận,Mọi ngành đủ điều kiện tại trường tiếp nhận,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Không nêu,Thành tích học thuật/tiềm năng lãnh đạo,Theo tiến độ học tập,"Bảng điểm, thư giới thiệu, xác nhận nhập học...",Trường giới thiệu/ứng viên nộp theo hướng dẫn quỹ,https://www.postf.org/en/asia/abroad/business,Tên gọi phổ biến: POSCO Asia Fellowship (học tại Hàn); có fellows học ở SNU,Có,,,
Chulabhorn Graduate Institute Scholarship,Chulabhorn Graduate Institute (CGI),Trường,"Toàn phần (trước đây công bố: học phí, vé máy bay, sinh hoạt, bảo hiểm…)",Thường gồm 6 tuần ôn tập + 2 năm ThS tại CGI; chỉ tiêu giới hạn theo năm,Tự nộp qua CGI (theo form/app hướng dẫn),Chưa rõ,Chưa rõ,Chưa rõ,~10–15 (tuỳ năm),Có,Ứng viên quốc tế (trừ công dân Thái),Không nêu,"Khoa học môi trường, độc chất, hoá học ứng dụng…",Applied Biological Sciences–Environmental Health; Environmental Toxicology; Chemical Sciences,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Không nêu,Thành tích học thuật; tiếng Anh; sức khoẻ,Theo thời lượng chương trình,"Đơn CGI, bảng điểm, tiếng Anh, y tế…",Theo hướng dẫn tuyển sinh CGI,https://www.cgi.ac.th/,Chi tiết đợt mở xem thông báo hằng năm của CGI,Có,,,
AIT King's & Queen's Scholarships (Thailand),Royal Thai Government via Asian Institute of Technology (AIT),Chính phủ,Toàn phần,"Miễn học phí, phí đăng ký, chỗ ở, trợ cấp sinh hoạt trong suốt chương trình",Tự nộp trực tuyến qua AIT,Thường Q1–Q2,Chưa rõ,Chưa rõ,Không nêu,Có,Công dân các nước châu Á (và đủ điều kiện theo năm),Châu Á,Các ngành ThS/PhD tại AIT,"Các ngành tại AIT (Engineering, IT, Management, Environment…)",Cử nhân (hoặc tương đương),Không nêu,Không nêu,Không nêu,Hồ sơ học thuật xuất sắc; tiếng Anh,Theo tiến độ học tập,Hồ sơ online theo AIT,Nộp qua cổng AIT Scholarships,https://ait.ac.th/financial/royal-thai-government-scholarships/,Tên khác: Royal Thai Government Scholarships (King/Queen),Có,,,
OAS Academic Scholarships,Organization of American States (OAS),Chính phủ,"Tối đa ~US$10,000/năm (tuỳ loại & nước)",Dành cho học toàn thời gian tại ĐH ở nước thành viên OAS khác nước tài trợ; có hỗ trợ online/blended,Tự nộp trực tuyến,Thường Q1–Q2,Chưa rõ,Chưa rõ,Không nêu,Có (nếu đủ điều kiện quốc tịch cư trú theo call),Công dân/quy chế cư trú hợp lệ tại nước thành viên OAS,Nước thành viên OAS,2 năm cuối bậc Cử nhân (hạn chế) / ThS/PhD,THPT/Cử nhân tuỳ bậc,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Năng lực học thuật; điều kiện nước sở tại,Theo loại học bổng,Bộ hồ sơ online OAS,Nộp qua cổng OAS + quy định nước sở tại,https://www.oas.org/en/scholarships/,UG chỉ áp dụng cho 2 năm cuối & giới hạn khu vực,Có,,,,
Rosa-Luxemburg-Stiftung Scholarships,Rosa-Luxemburg-Stiftung (Germany),Quỹ / Tổ chức,Trợ cấp sinh hoạt; hỗ trợ khác theo quy định,Hỗ trợ SV quốc tế bậc ThS & NCS đang học/nghiên cứu tại Đức; nhấn mạnh cam kết xã hội-dân chủ,Tự nộp trực tuyến,Giữa năm,Giữa 8,01/10 (tuỳ năm),Không nêu,Có,SV quốc tế đang ở Đức,—,Mọi ngành (ưu tiên KHXHNV),Các ngành tại cơ sở giáo dục công lập/được công nhận,Cử nhân + kinh nghiệm làm việc (ứng viên đang đi làm/được cơ quan cử),Không nêu,Không nêu,Không nêu,"Cam kết xã hội, thành tích học thuật",Theo tiến độ học tập,Hồ sơ online theo RLS,Nộp qua cổng RLS,https://www.rosalux.de/en/foundation/studienwerk/scholarships,Có lịch tuyển thường niên & deadline công bố rõ,Có,,,
Confucius Institute Scholarship (International Chinese Language Teachers Scholarship),Center for Language Education and Cooperation (chinese.cn),Chính phủ,Học phí + sinh hoạt (tuỳ hạng mục),Học bổng đào tạo giáo viên tiếng Hoa quốc tế; đăng ký qua cổng cis.chinese.cn và trường chủ nhà,Tự nộp qua cis.chinese.cn + chọn trường,Thường 2–3,Từ khoảng 2–3,Theo thông báo từng đợt,Không nêu,Có,Ứng viên quốc tế (không phải công dân TQ),—,Các chương trình tiếng Hoa/giảng dạy tiếng Hoa,Ngôn ngữ & Văn hoá Trung Quốc; sư phạm tiếng Hoa…,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Không nêu,HSK/HSKK theo mức; hồ sơ học thuật,Theo quy định chương trình,Hồ sơ online + chọn trường chủ nhà,Nộp trên cis.chinese.cn và trường chủ nhà,http://cis.chinese.cn/,Tên hiện hành: International Chinese Language Teachers Scholarship,Có,,,
Czech Government Scholarships,Ministry of Education,Youth and Sports (Czech Republic),Chính phủ,Toàn phần/ bán phần (tuỳ bậc và thoả thuận),Hỗ trợ công dân các nước đang phát triển theo diện hợp tác phát triển; nộp qua cơ quan đề cử,Qua cơ quan đề cử quốc gia + hệ thống online,Thường Q2–Q3,Chưa rõ,30/09/2025 (cho 2026/27),Không nêu,Có (nếu VN thuộc diện hiệp định/năm cụ thể),Danh mục quốc gia theo thông báo,Theo hiệp định,Theo ngành tại ĐH công lập CZ,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Không nêu,Thành tích học thuật; tiêu chí nước đề cử,Theo tiến độ học tập,Hồ sơ theo hướng dẫn MSMT,Nộp online + qua cơ quan đề cử,https://msmt.gov.cz/eu-and-international-affairs/government-scholarships-developing-countries,Kiểm tra danh sách nước đủ điều kiện theo năm,Có,,,
Polish Government Scholarships (NAWA – Banach),NAWA (Polish National Agency for Academic Exchange),Chính phủ,Miễn học phí + trợ cấp hàng tháng (mức theo call),Hỗ trợ công dân các nước đang phát triển học ThS tại Ba Lan (tiếng PL/EN),Tự nộp trực tuyến qua NAWA,Thường Q2,Chưa rõ,Theo call từng năm,Có chỉ tiêu theo năm,Có,Công dân các nước đang phát triển (danh mục theo call),Theo danh mục ngành ưu tiên,"Kỹ thuật, nông nghiệp, khoa học tự nhiên, sự sống…",Bằng cử nhân,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Thành tích học thuật; ngoại ngữ,Theo quy định NAWA,Hồ sơ online qua NAWA,Nộp trên cổng NAWA,https://nawa.gov.pl/en/students/foreign-students/the-banach-scholarship-programme,Tên đầy đủ: Stefan Banach Scholarship Programme,Có,,,,
Latvian Government Scholarships,VIAA (State Education Development Agency,Latvia),Chính phủ,Trợ cấp hàng tháng (mức theo call),Dành cho công dân các nước có hiệp định/đối ứng; học tại ĐH Latvia,Tự nộp trực tuyến qua VIAA,Thường Q1–Q2,Chưa rõ,Theo call,Không nêu,Có (nếu VN trong danh sách năm đó),Công dân các nước theo danh sách đủ điều kiện,Theo call,Theo chương trình tại ĐH Latvia,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Không nêu,Thành tích học thuật; tiêu chí đối ứng,Theo tiến độ học tập,Hồ sơ online qua VIAA,Nộp trên cổng VIAA,https://www.viaa.gov.lv/en/latvian-state-scholarships,Xem thêm trang Study in Latvia,Có,,,
Estonian Government Scholarships,Education and Youth Board (HARNO) / Study in Estonia,Chính phủ,Trợ cấp cho bậc ThS/PhD; một số diện UG liên quan Estonian language/culture,Hỗ trợ SV quốc tế học chính quy tại Estonia (theo call),Tự nộp (qua HARNO/đơn vị),Thường Q1–Q2,Chưa rõ,Theo call,Không nêu,Có,SV quốc tế (điều kiện theo call),—,Theo chương trình tại ĐH Estonia,THPT/ Cử nhân/ ThS tuỳ bậc,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Thành tích học thuật; ngoại ngữ,Theo quy định,Hồ sơ theo hướng dẫn HARNO/ĐH,Nộp theo hướng dẫn từng năm,https://harno.ee/en/scholarships-and-grants/scholarships-studying-and-working-estonia/scholarships-international,Đọc kỹ trang Study in Estonia để biết lựa chọn,Có,,,,
Kofi Annan MBA Fellowship (ESMT Berlin),ESMT Berlin,Trường,Học phí MBA toàn phần + hỗ trợ sinh hoạt (mức/điều kiện cập nhật theo năm),Trang ESMT hiện mô tả học bổng hướng đến ứng viên cư trú tại Nigeria (phạm vi thay đổi theo năm),Tự nộp qua ESMT,Chưa rõ,Chưa rõ,Chưa rõ,Rất ít suất,Có,Giới hạn theo quốc tịch/khu vực (hiện nêu Nigeria),Nigeria (theo trang hiện tại),MBA (Saïd/ESMT tuỳ chương trình),Bằng cử nhân + kinh nghiệm,Cử nhân (hoặc tương đương),Không nêu,Kinh nghiệm lãnh đạo/đóng góp xã hội,"Lãnh đạo, thành tích chuyên môn nổi trội",Theo khoá học,Hồ sơ online ESMT,Nộp trên cổng ESMT,https://esmt.berlin/mba-programs/full-time-mba/tuition-financing/scholarships,Phạm vi quốc tịch có thể thay đổi theo năm; kiểm tra lại,Có,,,,
Invest Your Talent in Italy Scholarship,Ministry of Foreign Affairs and International Cooperation (Italy),Chính phủ,Miễn học phí (trường tham gia) + €1.000/tháng trong 9 tháng + khoá tiếng Ý + thực tập,Dành cho chương trình ThS tại ĐH Ý đối tác; ngành ưu tiên liên quan công nghiệp/ICT…,Tự nộp trực tuyến,Thường Q4–Q1,Chưa rõ,Theo call,Không nêu,Có,Công dân nước đủ điều kiện theo call,Theo call,Các ngành tại ĐH đối tác,Bằng cử nhân,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Thành tích học thuật; yêu cầu ngoại ngữ,Theo quy định chương trình,Hồ sơ online qua cổng IYT,Đăng ký trên cổng MAECI/IYT,https://www.esteri.it/en/opportunita/borse-di-studio/per-cittadini-stranieri/progetti-speciali/invest-your-talent-in-italy/,Tham khảo thêm trang các trường như UniPi về quyền lợi,Có,,,,
Skoll Scholarship (MBA,Oxford),Skoll Centre for Social Entrepreneurship – Saïd Business School (Oxford),Trường,Toàn bộ học phí MBA + hỗ trợ sinh hoạt một phần,Dành cho doanh nhân xã hội theo học Oxford MBA; cộng đồng Skoll Scholars,Tự nộp (song song hồ sơ MBA),Thường Q3–Q4,Chưa rõ,Theo vòng tuyển MBA,Rất ít suất,Có,Doanh nhân xã hội có tác động,—,MBA Oxford,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Kinh nghiệm lãnh đạo/tác động xã hội,Thành tích & tiềm năng tạo thay đổi xã hội,Theo khoá MBA,Hồ sơ MBA + essay Skoll,Theo hướng dẫn Saïd Business School,https://www.sbs.ox.ac.uk/oxford-experience/scholarships-and-funding/skoll-scholarships,Trang Skoll Centre mô tả chi tiết quyền lợi,Có,,,
Education for Sustainable Energy Development (ESED) Scholarship,Global Sustainable Electricity Partnership (GSEP),Quỹ / Tổ chức,Tới ~US$10.000–21.000/năm (theo đợt công bố),Hỗ trợ SV ThS toàn thời gian trong lĩnh vực năng lượng bền vững; thời hạn tối đa 2 năm,Tự nộp trực tuyến,Chưa rõ,Chưa rõ,Chưa rõ,~6–10 suất/năm (tham khảo),Có,Công dân các nước đang phát triển,DAC/ODA (tham chiếu),Ngành liên quan năng lượng bền vững,Bằng cử nhân liên quan,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Thành tích học thuật; cam kết lĩnh vực năng lượng bền vững,Theo thời lượng chương trình,Hồ sơ online,Nộp theo hướng dẫn GSEP,https://www.globalelectricity.org/,Mức tiền & lịch có thể thay đổi theo năm,Chưa rõ,,,,
Beit Trust Postgraduate Scholarships,The Beit Trust (UK/SA),Quỹ / Tổ chức,Toàn phần (trường đối tác UK/SA),"Chỉ cho công dân Zimbabwe, Zambia, Malawi; tập trung bậc ThS",Tự nộp trực tuyến,Chưa rõ,Chưa rõ,Chưa rõ,~20+/năm (tuỳ năm),Không (không dành cho VN),Giới hạn quốc tịch,"Zimbabwe, Zambia, Malawi",Theo ngành phù hợp phát triển khu vực,Bằng cử nhân,Cử nhân (hoặc tương đương),Không nêu,Không nêu,Thành tích học thuật; cam kết đóng góp,Theo thời lượng học,Hồ sơ online,Nộp qua cổng Beit Trust,https://beittrust.org.uk/beit-trust-scholarships/,Không tài trợ bậc Cử nhân,Có,,,,
Open Society Foundations Civil Society Leadership Awards,Open Society Foundations (OSF),Quỹ / Tổ chức,—,"**ĐÃ NGỪNG**: OSF dừng các chương trình học bổng (CSLA, CSSA…) từ 2021; không mở vòng mới",—,—,—,—,—,Không,—,—,—,—,Cử nhân + kinh nghiệm liên quan hoà bình/xung đột (theo track),—,—,—,—,—,https://www.opensocietyfoundations.org/grants/faq,Chương trình đã dừng từ 2021 theo công bố OSF,Không,,,,,
Orange Knowledge Programme (OKP),Nuffic (Netherlands),Quỹ / Tổ chức,—,Chương trình OKP **đã kết thúc 2017–2024**; hiện chỉ còn trang tổng kết tác động,—,—,—,—,—,Không,—,—,—,—,Cử nhân (hoặc tương đương),—,—,—,—,—,https://www.nuffic.nl/en/international/impact-and-results-of-the-orange-knowledge-programme,Individual OKP scholarships không còn mở,Không,,,,,
Swiss Government Excellence Scholarships,Swiss Confederation (FCS/ESKAS – SBFI),Chính phủ,Trợ cấp ~CHF 3.500/tháng + miễn/giảm phí theo diện; không chi trả học phí phổ quát,Dành cho nghiên cứu/PhD/Artist (không có UG/ThS course-based chung); nộp qua ĐSQ Thuỵ Sĩ,Nộp online qua GO ESKAS + ĐSQ/LSQ,Thường Q3–Q4,Từ 04/08/2025 (cho 2026/27),Deadline theo quốc gia (VD: 13/10/2025 ở một số nước),Không nêu,Có,Ứng viên quốc tế đủ điều kiện từng nước,—,Nghiên cứu/PhD/Arts tại cơ sở Thuỵ Sĩ,ThS (đã hoàn tất) hoặc tương đương (tuỳ diện),Cử nhân + ≥2 năm kinh nghiệm làm việc toàn thời gian,Không nêu,Không nêu,Hồ sơ nghiên cứu/portfolio mạnh,Theo quy định FCS,Hồ sơ ESKAS + nộp qua ĐSQ,Theo hướng dẫn ESKAS từng nước,https://www.sbfi.admin.ch/en/swiss-government-excellence-scholarships,Kiểm tra thông báo riêng của ĐSQ Thuỵ Sĩ tại Việt Nam,Có,,,,
